`     --> Backtick
~     --> Tilde
!     --> Exclamation mark /Not
@     --> At the rate
#     --> Hash
$     --> Dollar
%     --> Percentage / Modulus
^     --> Caret
&     --> Ampersand / Address of
&&    --> And / Logical And operator
*     --> Multiplication / Asterisk / star
(     --> Round braces open/ Parenthesis open
)     --> Round Braces close / Parenthesis close
-     --> Hyphen / minus / subtraction / Dash
_     --> Underscore
+     --> Plus / Addition
=     --> assign operator
==    --> Equal to (Value, Not datatype)
===   --> Equal to  (value, datatype)
!=    --> Not Equal to(Value, Not datatype)
!==   --> Not Equal to (value, datatype)
{     --> Curly braces open
}     --> Curly braces close
[     --> square braces open
]     --> Square braces close
:     --> Colon 
;     --> semi-colon
" "   --> Double Quotes / Double Inverted comma
' '   --> Single Quotes / Single Inverted Comma
,     --> Comma
<     --> Less than, angular braces open
>     --> Greater then / angular braces close
.     --> Dot/ full stop
?     --> Question mark
/     --> Backward slash
\     --> Forward Slash
|     --> Pipe
||    --> OR / Logical OR
?.    --> Optional Chaining
??    --> nullish coalescence

